Brand,Type,Finish,Color Name,Color Code,Total Weight (g),Weight Remaining (g),Quantity,Spool Type,Spool Material,Reusable Spool,Diameter (mm),Location,Notes,Date Added,Purchase Price Per Kg
Bambu Lab,PLA,Matte,Charcoal,#121212,1000,1000,1,spool,plastic,Yes,1.75,Shelf A,Color : Matte Charcoal (11101),02/16/2026,149
Bambu Lab,PLA,CF,Lava Gray,#6b7280,1000,1000,1,spool,plastic,Yes,1.75,Shelf A,Color : Lava Gray (14101),02/16/2026,149
Bambu Lab,PLA,CF,Jeans Blue,#6ea8ff,1000,1000,1,spool,plastic,Yes,1.75,Shelf B,Color : Jeans Blue (14600),02/16/2026,149
Bambu Lab,PLA,CF,Burgundy Red,#7f1d1d,1000,1000,1,spool,plastic,Yes,1.75,Shelf A,Color : Burgundy Red (14200),02/16/2026,149
Bambu Lab,ASA,,Gray,#9ca3af,1000,1000,1,spool,plastic,Yes,1.75,Shelf C,Color : Gray (45102),02/16/2026,149
Bambu Lab,PLA,Silk,Gold,#f59e0b,1000,766,1,spool,plastic,Yes,1.75,Shelf D,Color : Gold (13405),02/16/2026,149
Polymaker,PLA,High Temperature,Gradient Ice,#95C5D3,1000,813,1,spool,cardboard,No,1.75,Box 1,SKU: PA17013,02/16/2026,199
Bambu Lab,PLA,Wood,Black Walnut,#4F3F24,1000,749,1,spool,plastic,Yes,1.75,Shelf E,Color : Black Walnut (13107),02/16/2026,149
Polymaker,PLA,Matte,Army Blue,#2e4462,1000,1000,1,spool,cardboard,No,1.75,Box 2,SKU: CA04008,02/16/2026,199
Bambu Lab,PLA,Wood,White Oak,#D6CCA3,1000,724,1,spool,plastic,Yes,1.75,Shelf E,Color : White Oak (13106),02/16/2026,149
Polymaker,PLA,Matte,Charcoal Black,#2f2e30,1000,1328,2,spool,cardboard,No,1.75,Box 2,SKU: CA04015,02/16/2026,199
Bambu Lab,PLA,Silk,Silver,#C8C8C8,1000,1000,1,spool,plastic,Yes,1.75,Shelf D,Color : Silver (13109),02/16/2026,149
Bambu Lab,PLA,CF,Matcha Green,#5C9748,1000,330,1,spool,plastic,Yes,1.75,Shelf F,Color : Matcha Green (14500),02/16/2026,149
Bambu Lab,PLA,,Bright Green,#BECF00,1000,918,1,spool,plastic,Yes,1.75,Shelf F,Color : Bright Green (10503),02/16/2026,149
